figure	file	role	exists	size_kb	width_px	height_px	aspect_ratio	auto_status
Figure 1	Figure_1_UGO_Omics_platform_architecture_v1.png	platform architecture	yes	174.7	4200	3000	1.4	ok
Figure 2	Figure_2_integrated_evolutionary_framework_v2_MP_style.png	evolutionary framework	yes	159.1	5600	2350	2.383	ok
Figure 3	Figure_3_UGO_Omics_usability_workflows_v1.png	usability workflows	yes	190.8	4200	3000	1.4	ok
Figure 4	Figure_4_regeneration_resilience_toolkit_model_v1.png	mechanism model	yes	137.7	5200	2350	2.213	ok
Figure 5	Figure_5_benchmark_discovery_case_summary_v1.png	benchmark discovery case	yes	201.6	4200	3100	1.355	ok
